chr1 617598 621268 fill_color=chr16,z=29
chr1 550041 552947 fill_color=chr13,z=44
chr1 143842 146631 fill_color=chr12,z=46
chr1 631971 632672 fill_color=chr3,z=86
chr1 760755 761819 fill_color=chr4,z=79
chr1 432042 433662 fill_color=chr7,z=68
chr1 452302 453220 fill_color=chr4,z=82
chr1 301660 302959 fill_color=chr5,z=75
chr1 646564 648903 fill_color=chr10,z=55
chr1 869338 870836 fill_color=chr6,z=71
chr1 938346 940555 fill_color=chr10,z=57
chr1 953824 955087 fill_color=chr5,z=75
chr1 248015 248660 fill_color=chr2,z=87
chr1 500876 501334 fill_color=chr2,z=91
chr1 999387 1001579 fill_color=chr10,z=58
chr1 151949 153475 fill_color=chr7,z=70
chr1 898763 901693 fill_color=chr13,z=43
chr1 631726 633361 fill_color=chr7,z=68
chr1 786711 788642 fill_color=chr8,z=63
chr1 836832 838193 fill_color=chr6,z=73
chr1 266862 268309 fill_color=chr6,z=72
chr1 88063 88475 fill_color=chr1,z=92
chr1 416145 418139 fill_color=chr9,z=61
chr1 864361 867424 fill_color=chr14,z=41
chr1 436632 441862 fill_color=chr24,z=0
chr1 31816 32407 fill_color=chr2,z=88
chr1 195422 195771 fill_color=chr1,z=93
chr1 640666 643072 fill_color=chr11,z=53
chr1 188682 190082 fill_color=chr6,z=73
chr1 589897 592538 fill_color=chr12,z=49
chr1 412266 412456 fill_color=chr0,z=96
chr1 715556 715784 fill_color=chr1,z=95
chr1 824261 826671 fill_color=chr11,z=53
chr1 165574 166500 fill_color=chr4,z=82
chr1 735644 735836 fill_color=chr0,z=96
chr1 875683 878318 fill_color=chr12,z=49
chr1 796523 797215 fill_color=chr3,z=86
chr1 872787 874627 fill_color=chr8,z=64
chr1 491050 493849 fill_color=chr12,z=46
chr1 979475 983475 fill_color=chr18,z=23
chr1 860195 862083 fill_color=chr8,z=63
chr1 622172 625436 fill_color=chr14,z=37
chr1 476202 476873 fill_color=chr3,z=87
chr1 177217 177686 fill_color=chr2,z=91
chr1 125021 125758 fill_color=chr3,z=85
chr1 959931 962165 fill_color=chr10,z=57
chr1 786293 789576 fill_color=chr15,z=37
chr1 583017 584331 fill_color=chr6,z=74
chr1 817595 818642 fill_color=chr4,z=79
chr1 52898 54577 fill_color=chr7,z=67
chr1 471358 471662 fill_color=chr1,z=94
chr1 122754 125133 fill_color=chr10,z=54
chr1 319534 320631 fill_color=chr5,z=79
chr1 976052 977355 fill_color=chr5,z=75
chr1 108704 111593 fill_color=chr13,z=44
chr1 525870 527363 fill_color=chr6,z=71
chr1 84076 87243 fill_color=chr14,z=39
chr1 209080 209775 fill_color=chr3,z=86
chr1 350409 352300 fill_color=chr8,z=63
chr1 2356 3437 fill_color=chr4,z=79
chr1 843027 844299 fill_color=chr5,z=75
chr1 518455 518759 fill_color=chr1,z=94
chr1 712262 712937 fill_color=chr3,z=87
chr1 433180 435212 fill_color=chr9,z=61
chr1 434507 435072 fill_color=chr2,z=89
chr1 988870 991009 fill_color=chr9,z=59
chr1 771943 774442 fill_color=chr11,z=52
chr1 177136 179438 fill_color=chr10,z=55
chr1 20336 23095 fill_color=chr12,z=47
chr1 186120 188775 fill_color=chr12,z=49
chr1 209858 213966 fill_color=chr18,z=21
chr1 274776 278796 fill_color=chr18,z=23
chr1 159346 160209 fill_color=chr3,z=83
chr1 361804 363264 fill_color=chr6,z=72
chr1 877687 878540 fill_color=chr3,z=83
chr1 716250 719892 fill_color=chr16,z=30
chr1 476871 477626 fill_color=chr3,z=85
chr1 343279 344410 fill_color=chr5,z=78
chr1 142776 144360 fill_color=chr7,z=69
chr1 980967 982311 fill_color=chr6,z=74
chr1 666585 666882 fill_color=chr1,z=94
chr1 650411 651683 fill_color=chr5,z=75
chr1 909182 910649 fill_color=chr6,z=71
chr1 589771 592274 fill_color=chr11,z=52
chr1 502410 503333 fill_color=chr4,z=82
chr1 319892 321449 fill_color=chr7,z=70
chr1 940002 942853 fill_color=chr13,z=45
chr1 412453 415896 fill_color=chr15,z=34
chr1 977130 977466 fill_color=chr1,z=93
chr1 539775 541458 fill_color=chr7,z=67
chr1 835079 836528 fill_color=chr6,z=72
chr1 812988 813696 fill_color=chr3,z=86
chr1 750552 753296 fill_color=chr12,z=47
chr1 158692 158779 fill_color=chr0,z=98
chr1 391047 392518 fill_color=chr6,z=71
chr1 900702 902818 fill_color=chr9,z=59
chr1 741459 744890 fill_color=chr15,z=34
chr1 358748 359253 fill_color=chr2,z=90
chr1 177707 178896 fill_color=chr5,z=77
chr1 587086 587656 fill_color=chr2,z=89
chr1 970506 971986 fill_color=chr6,z=71
chr1 706895 709180 fill_color=chr10,z=56
chr1 299924 301401 fill_color=chr6,z=71
chr1 365154 365322 fill_color=chr0,z=96
chr1 19646 20979 fill_color=chr6,z=74
chr1 630676 632283 fill_color=chr7,z=69
chr1 224599 227929 fill_color=chr15,z=36
chr1 661813 665383 fill_color=chr16,z=31
chr1 660283 662840 fill_color=chr11,z=51
chr1 320457 321312 fill_color=chr3,z=83
chr1 688100 690491 fill_color=chr10,z=54
chr1 834942 835893 fill_color=chr4,z=81
chr1 87369 89543 fill_color=chr9,z=58
chr1 626805 629803 fill_color=chr13,z=42
chr1 463998 464539 fill_color=chr2,z=89
chr1 857677 860115 fill_color=chr11,z=53
chr1 629004 631073 fill_color=chr9,z=60
chr1 699693 700744 fill_color=chr4,z=79
chr1 770700 770734 fill_color=chr0,z=99
chr1 55307 59237 fill_color=chr18,z=24
chr1 957245 958937 fill_color=chr7,z=67
chr1 672168 672536 fill_color=chr1,z=92
chr1 392932 395644 fill_color=chr12,z=48
chr1 928359 929538 fill_color=chr5,z=77
chr1 460892 461647 fill_color=chr3,z=85
chr1 407309 407726 fill_color=chr1,z=91
chr1 942931 943906 fill_color=chr4,z=81
chr1 742733 742774 fill_color=chr0,z=99
chr1 137878 140308 fill_color=chr11,z=53
chr1 251571 254112 fill_color=chr11,z=51
chr1 812277 812864 fill_color=chr2,z=88
chr1 718449 720234 fill_color=chr8,z=65
chr1 784679 784909 fill_color=chr1,z=95
chr1 433394 434579 fill_color=chr5,z=77
chr1 182642 184380 fill_color=chr7,z=66
chr1 967815 968669 fill_color=chr3,z=83
chr1 392241 393028 fill_color=chr3,z=84
chr1 542441 543627 fill_color=chr5,z=77
chr1 345276 346996 fill_color=chr7,z=67
chr1 877292 879004 fill_color=chr7,z=67
chr1 69521 70329 fill_color=chr3,z=84
chr1 766618 767951 fill_color=chr6,z=74
chr1 600129 602232 fill_color=chr9,z=59
chr1 91186 93466 fill_color=chr10,z=56
chr1 902520 903472 fill_color=chr4,z=81
chr1 861608 862656 fill_color=chr4,z=79
chr1 194321 196352 fill_color=chr9,z=61
chr1 226611 227670 fill_color=chr4,z=79
chr1 392153 393069 fill_color=chr4,z=82
chr1 306883 308152 fill_color=chr5,z=75
chr1 347735 349594 fill_color=chr8,z=64
chr1 655382 657210 fill_color=chr8,z=65
chr1 300323 302085 fill_color=chr8,z=66
chr1 654725 658638 fill_color=chr17,z=25
chr1 85377 86285 fill_color=chr4,z=82
chr1 247773 248415 fill_color=chr2,z=87
chr1 249904 253157 fill_color=chr14,z=37
chr1 611873 613308 fill_color=chr6,z=72
chr1 739507 742608 fill_color=chr14,z=40
chr1 644275 646992 fill_color=chr12,z=48
chr1 479153 482019 fill_color=chr13,z=45
chr1 79861 81377 fill_color=chr6,z=70
chr1 940220 943940 fill_color=chr17,z=28
chr1 53952 54490 fill_color=chr2,z=89
chr1 30316 32954 fill_color=chr12,z=49
chr1 908464 909969 fill_color=chr6,z=71
chr1 225090 227735 fill_color=chr12,z=49
chr1 561775 562588 fill_color=chr3,z=84
chr1 970300 973836 fill_color=chr16,z=32
chr1 940926 941721 fill_color=chr3,z=84
chr1 63775 64379 fill_color=chr2,z=88
chr1 643133 644170 fill_color=chr4,z=80
chr1 190503 192445 fill_color=chr8,z=62
chr1 519636 522174 fill_color=chr11,z=51
chr1 812265 812883 fill_color=chr2,z=88
chr1 852784 853741 fill_color=chr4,z=81
chr1 933814 936282 fill_color=chr11,z=52
chr1 711908 714391 fill_color=chr11,z=52
chr1 537117 537709 fill_color=chr2,z=88
chr1 189778 191337 fill_color=chr7,z=70
chr1 548003 550863 fill_color=chr13,z=45
chr1 358548 360657 fill_color=chr9,z=59
chr1 638953 639893 fill_color=chr4,z=82
chr1 291914 293392 fill_color=chr6,z=71
chr1 492998 496255 fill_color=chr14,z=37
chr1 659539 660143 fill_color=chr2,z=88
chr1 66298 69197 fill_color=chr13,z=44
chr1 626184 628638 fill_color=chr11,z=53
chr1 339787 339910 fill_color=chr0,z=97
chr1 423632 425134 fill_color=chr6,z=71
chr1 658224 660617 fill_color=chr10,z=54
chr1 99282 101514 fill_color=chr10,z=57
