chr1 365650 370710 fill_color=chr21,z=9
chr1 733491 734783 fill_color=chr5,z=76
chr1 842276 842914 fill_color=chr2,z=88
chr1 214442 215385 fill_color=chr4,z=83
chr1 235165 235218 fill_color=chr0,z=99
chr1 977210 978351 fill_color=chr4,z=79
chr1 12700 15393 fill_color=chr11,z=51
chr1 841840 844673 fill_color=chr12,z=49
chr1 731142 733082 fill_color=chr8,z=65
chr1 961291 964102 fill_color=chr12,z=49
chr1 805685 806527 fill_color=chr3,z=84
chr1 34586 38511 fill_color=chr16,z=29
chr1 531514 531636 fill_color=chr0,z=97
chr1 36739 39007 fill_color=chr9,z=59
chr1 332784 332932 fill_color=chr0,z=97
chr1 695510 695807 fill_color=chr1,z=94
chr1 191477 192204 fill_color=chr3,z=86
chr1 581329 582387 fill_color=chr4,z=80
chr1 184634 189092 fill_color=chr19,z=20
chr1 127827 129301 fill_color=chr6,z=73
chr1 234819 237873 fill_color=chr13,z=45
chr1 339891 340135 fill_color=chr1,z=95
chr1 657530 657570 fill_color=chr0,z=99
chr1 282922 283479 fill_color=chr2,z=89
chr1 475276 475589 fill_color=chr1,z=94
chr1 752785 755935 fill_color=chr13,z=43
chr1 91162 93990 fill_color=chr12,z=49
chr1 110310 112604 fill_color=chr9,z=58
chr1 324071 325204 fill_color=chr4,z=79
chr1 931199 932221 fill_color=chr4,z=81
chr1 866150 869264 fill_color=chr13,z=44
chr1 801011 802814 fill_color=chr7,z=67
chr1 669879 670311 fill_color=chr1,z=92
chr1 431275 434854 fill_color=chr15,z=35
chr1 891114 893265 fill_color=chr9,z=61
chr1 495948 500040 fill_color=chr17,z=26
chr1 92901 93874 fill_color=chr4,z=82
chr1 661921 663923 fill_color=chr8,z=64
chr1 940936 943203 fill_color=chr9,z=59
chr1 866587 868963 fill_color=chr10,z=57
chr1 714703 714967 fill_color=chr1,z=95
chr1 650162 651936 fill_color=chr7,z=68
chr1 300130 301033 fill_color=chr3,z=83
chr1 109032 110010 fill_color=chr4,z=82
chr1 894953 894971 fill_color=chr0,z=99
chr1 15176 16032 fill_color=chr3,z=84
chr1 830589 832067 fill_color=chr6,z=73
chr1 208998 211618 fill_color=chr11,z=52
chr1 98043 99906 fill_color=chr8,z=66
chr1 665720 666452 fill_color=chr3,z=86
chr1 787171 788221 fill_color=chr4,z=81
chr1 607864 609452 fill_color=chr6,z=71
chr1 478117 478728 fill_color=chr2,z=89
chr1 748797 752041 fill_color=chr13,z=41
chr1 616637 618923 fill_color=chr9,z=58
chr1 544496 546367 fill_color=chr8,z=66
chr1 309302 310668 fill_color=chr5,z=75
chr1 319415 320401 fill_color=chr4,z=82
chr1 217376 217814 fill_color=chr1,z=92
chr1 669211 669268 fill_color=chr0,z=98
chr1 136531 138324 fill_color=chr7,z=67
chr1 666701 667628 fill_color=chr3,z=83
chr1 34379 35716 fill_color=chr5,z=75
chr1 971679 975341 fill_color=chr15,z=34
chr1 86617 87186 fill_color=chr2,z=89
chr1 80985 83544 fill_color=chr11,z=54
chr1 194362 194540 fill_color=chr0,z=96
chr1 470349 472744 fill_color=chr10,z=57
chr1 882897 885152 fill_color=chr9,z=59
chr1 455583 457320 fill_color=chr7,z=68
chr1 131211 132110 fill_color=chr3,z=83
chr1 454938 457965 fill_color=chr13,z=45
chr1 801560 803405 fill_color=chr7,z=66
chr1 627553 629185 fill_color=chr7,z=70
chr1 746658 747312 fill_color=chr2,z=88
chr1 723611 727002 fill_color=chr14,z=39
chr1 723535 725086 fill_color=chr6,z=72
chr1 930966 932259 fill_color=chr5,z=76
chr1 732911 735491 fill_color=chr11,z=53
chr1 221628 222795 fill_color=chr5,z=79
chr1 30656 34083 fill_color=chr14,z=38
chr1 486896 487877 fill_color=chr4,z=82
chr1 843767 846232 fill_color=chr10,z=55
chr1 667752 669111 fill_color=chr5,z=75
chr1 904749 905924 fill_color=chr5,z=78
chr1 225092 226470 fill_color=chr5,z=75
chr1 432371 434281 fill_color=chr8,z=65
chr1 188711 189686 fill_color=chr4,z=82
chr1 477665 480627 fill_color=chr12,z=46
chr1 227064 228315 fill_color=chr5,z=77
chr1 724435 725427 fill_color=chr4,z=82
chr1 101139 102986 fill_color=chr7,z=66
chr1 691429 692399 fill_color=chr4,z=82
chr1 418896 422085 fill_color=chr13,z=42
chr1 15496 17032 fill_color=chr6,z=72
chr1 855912 859084 fill_color=chr13,z=43
chr1 931121 931892 fill_color=chr3,z=86
chr1 909925 912479 fill_color=chr10,z=54
chr1 173027 174722 fill_color=chr7,z=69
chr1 753663 754736 fill_color=chr4,z=80
chr1 837488 838500 fill_color=chr4,z=81
chr1 871257 874252 fill_color=chr12,z=46
chr1 595417 595557 fill_color=chr0,z=97
chr1 454974 455253 fill_color=chr1,z=94
chr1 868359 871469 fill_color=chr13,z=44
chr1 42783 43637 fill_color=chr3,z=84
chr1 689462 691066 fill_color=chr6,z=71
chr1 37439 38203 fill_color=chr3,z=86
chr1 412565 415775 fill_color=chr13,z=42
chr1 30968 33012 fill_color=chr8,z=63
chr1 238851 240416 fill_color=chr6,z=71
chr1 528384 528663 fill_color=chr1,z=94
chr1 650276 650893 fill_color=chr2,z=88
chr1 60083 62800 fill_color=chr11,z=51
chr1 964009 966229 fill_color=chr9,z=60
chr1 490786 492728 fill_color=chr8,z=65
chr1 60622 62524 fill_color=chr8,z=65
chr1 830321 832891 fill_color=chr11,z=53
chr1 537405 537414 fill_color=chr0,z=99
chr1 525965 527183 fill_color=chr5,z=78
chr1 990328 992198 fill_color=chr8,z=66
chr1 446331 449037 fill_color=chr11,z=51
chr1 190286 191849 fill_color=chr6,z=71
chr1 35633 37270 fill_color=chr7,z=70
chr1 83372 84249 fill_color=chr3,z=84
chr1 853951 854913 fill_color=chr4,z=82
chr1 401815 402830 fill_color=chr4,z=81
chr1 454055 455843 fill_color=chr7,z=67
chr1 526769 529228 fill_color=chr10,z=55
chr1 971679 972245 fill_color=chr2,z=89
chr1 528146 530535 fill_color=chr10,z=57
chr1 505411 508224 fill_color=chr12,z=49
chr1 965178 965705 fill_color=chr2,z=90
chr1 352537 356091 fill_color=chr15,z=36
chr1 338538 339437 fill_color=chr3,z=83
chr1 89491 89642 fill_color=chr0,z=97
chr1 878912 879593 fill_color=chr2,z=87
chr1 153256 154986 fill_color=chr7,z=68
chr1 462688 464174 fill_color=chr6,z=73
chr1 768646 770781 fill_color=chr9,z=61
chr1 85886 87133 fill_color=chr5,z=77
chr1 828213 830738 fill_color=chr10,z=54
chr1 605822 607168 fill_color=chr5,z=75
chr1 779437 780557 fill_color=chr4,z=79
chr1 526170 527097 fill_color=chr3,z=83
chr1 978148 979738 fill_color=chr6,z=71
chr1 896475 898822 fill_color=chr10,z=57
chr1 172921 174865 fill_color=chr8,z=65
chr1 404242 406510 fill_color=chr9,z=59
chr1 356994 357638 fill_color=chr2,z=88
chr1 940344 940865 fill_color=chr2,z=90
chr1 388110 390499 fill_color=chr10,z=57
chr1 212925 216012 fill_color=chr13,z=44
chr1 128064 130925 fill_color=chr12,z=48
chr1 559076 560222 fill_color=chr4,z=79
chr1 964480 967356 fill_color=chr12,z=48
chr1 836877 840241 fill_color=chr14,z=39
chr1 33250 36703 fill_color=chr14,z=38
chr1 995652 998272 fill_color=chr11,z=52
chr1 522778 525162 fill_color=chr10,z=57
chr1 352757 355160 fill_color=chr10,z=56
chr1 431058 431340 fill_color=chr1,z=94
chr1 721406 725640 fill_color=chr18,z=24
chr1 800712 802743 fill_color=chr8,z=63
chr1 906508 909692 fill_color=chr13,z=42
chr1 922265 924310 fill_color=chr8,z=63
chr1 240147 240621 fill_color=chr2,z=91
chr1 773895 774335 fill_color=chr1,z=92
chr1 82344 83871 fill_color=chr6,z=72
chr1 32264 33034 fill_color=chr3,z=86
chr1 261882 262179 fill_color=chr1,z=94
chr1 465887 468750 fill_color=chr12,z=48
chr1 987879 990521 fill_color=chr11,z=52
chr1 689099 691756 fill_color=chr11,z=52
chr1 825002 826212 fill_color=chr5,z=78
chr1 338086 338572 fill_color=chr2,z=91
chr1 198321 201154 fill_color=chr12,z=49
chr1 823495 824293 fill_color=chr3,z=85
chr1 847249 850415 fill_color=chr13,z=43
chr1 424948 426397 fill_color=chr6,z=73
chr1 141096 142696 fill_color=chr6,z=71
chr1 635500 637126 fill_color=chr7,z=70
chr1 851366 855313 fill_color=chr16,z=29
chr1 57687 60714 fill_color=chr13,z=45
chr1 199680 201196 fill_color=chr6,z=72
chr1 610 2085 fill_color=chr6,z=73
chr1 362987 366007 fill_color=chr13,z=45
chr1 905809 908298 fill_color=chr10,z=55
chr1 89384 89845 fill_color=chr1,z=91
chr1 221288 221401 fill_color=chr0,z=97
chr1 541409 541806 fill_color=chr1,z=92
chr1 606849 609141 fill_color=chr9,z=58
chr1 53777 54856 fill_color=chr4,z=80
chr1 227946 229842 fill_color=chr8,z=65
chr1 756545 756794 fill_color=chr1,z=95
chr1 787548 790005 fill_color=chr10,z=55
chr1 371950 374452 fill_color=chr10,z=55
chr1 272647 273173 fill_color=chr2,z=90
chr1 49191 50142 fill_color=chr4,z=82
chr1 281765 285663 fill_color=chr16,z=30
chr1 105776 107258 fill_color=chr6,z=73
chr1 780681 784576 fill_color=chr16,z=30
chr1 141204 144499 fill_color=chr14,z=40
chr1 690016 690647 fill_color=chr2,z=88
chr1 82494 84256 fill_color=chr7,z=68
chr1 986979 988861 fill_color=chr8,z=66
chr1 35050 35170 fill_color=chr0,z=97
chr1 611360 612110 fill_color=chr3,z=86
chr1 759366 761142 fill_color=chr7,z=68
chr1 208865 211964 fill_color=chr13,z=44
chr1 349209 349446 fill_color=chr1,z=95
chr1 309827 311467 fill_color=chr7,z=70
chr1 890062 892490 fill_color=chr10,z=56
chr1 532432 534795 fill_color=chr10,z=57
chr1 671140 671249 fill_color=chr0,z=98
chr1 794806 796210 fill_color=chr6,z=74
chr1 170852 174030 fill_color=chr13,z=42
chr1 520960 524884 fill_color=chr16,z=29
chr1 119851 120259 fill_color=chr1,z=92
chr1 228341 230423 fill_color=chr8,z=62
chr1 231304 234751 fill_color=chr14,z=38
chr1 509965 512556 fill_color=chr11,z=53
chr1 445947 447212 fill_color=chr5,z=77
chr1 793554 795172 fill_color=chr6,z=70
chr1 219219 221737 fill_color=chr10,z=54
chr1 620057 624078 fill_color=chr17,z=27
chr1 761539 763706 fill_color=chr9,z=61
chr1 129172 129700 fill_color=chr2,z=90
chr1 661837 664277 fill_color=chr10,z=56
chr1 796780 797737 fill_color=chr4,z=82
chr1 992053 992593 fill_color=chr2,z=90
chr1 758068 758074 fill_color=chr0,z=99
chr1 441538 441977 fill_color=chr1,z=92
chr1 742571 743646 fill_color=chr4,z=80
chr1 436442 439146 fill_color=chr11,z=51
chr1 605912 606903 fill_color=chr4,z=82
chr1 359307 360839 fill_color=chr6,z=72
chr1 322167 323814 fill_color=chr7,z=70
chr1 174124 175663 fill_color=chr6,z=72
chr1 353263 357088 fill_color=chr16,z=31
chr1 456071 459060 fill_color=chr12,z=46
chr1 947048 948684 fill_color=chr7,z=70
chr1 182106 183688 fill_color=chr6,z=71
chr1 515184 517305 fill_color=chr9,z=61
chr1 681854 682065 fill_color=chr0,z=96
chr1 140311 143463 fill_color=chr13,z=43
chr1 843035 845844 fill_color=chr12,z=49
chr1 461691 465497 fill_color=chr16,z=31
chr1 634714 637064 fill_color=chr10,z=57
chr1 279819 282462 fill_color=chr11,z=52
chr1 406540 409983 fill_color=chr14,z=38
chr1 135796 136669 fill_color=chr3,z=84
chr1 503090 508666 fill_color=chr24,z=0
chr1 759298 762140 fill_color=chr12,z=49
chr1 987230 987337 fill_color=chr0,z=98
chr1 689784 690051 fill_color=chr1,z=95
chr1 431909 432196 fill_color=chr1,z=94
chr1 104596 106453 fill_color=chr7,z=66
chr1 871565 872035 fill_color=chr2,z=91
chr1 231678 232024 fill_color=chr1,z=93
chr1 768321 770667 fill_color=chr10,z=57
chr1 61581 62185 fill_color=chr2,z=89
chr1 493894 496669 fill_color=chr11,z=50
chr1 80024 81662 fill_color=chr7,z=70
chr1 828911 830461 fill_color=chr6,z=72
chr1 224705 225015 fill_color=chr1,z=94
chr1 113788 114964 fill_color=chr5,z=78
chr1 484461 485630 fill_color=chr5,z=79
chr1 346616 346896 fill_color=chr1,z=94
chr1 308344 309370 fill_color=chr4,z=81
chr1 370166 370715 fill_color=chr2,z=90
chr1 440691 442576 fill_color=chr8,z=66
chr1 810328 811828 fill_color=chr6,z=73
chr1 849494 850947 fill_color=chr6,z=73
chr1 843416 845509 fill_color=chr9,z=62
chr1 660952 661913 fill_color=chr4,z=82
chr1 789497 790151 fill_color=chr2,z=88
chr1 658721 659541 fill_color=chr3,z=85
chr1 68599 71273 fill_color=chr11,z=52
chr1 744880 745855 fill_color=chr4,z=82
chr1 654066 655726 fill_color=chr7,z=70
chr1 160564 161119 fill_color=chr2,z=90
chr1 108150 110535 fill_color=chr10,z=57
chr1 311451 313342 fill_color=chr8,z=66
chr1 49353 50475 fill_color=chr4,z=79
chr1 354523 358820 fill_color=chr18,z=22
chr1 511255 514519 fill_color=chr14,z=41
chr1 121767 125020 fill_color=chr14,z=41
chr1 86378 88839 fill_color=chr10,z=55
chr1 218826 219254 fill_color=chr1,z=92
chr1 912746 913958 fill_color=chr5,z=78
chr1 756729 757667 fill_color=chr4,z=83
chr1 559364 563108 fill_color=chr16,z=32
chr1 222125 224815 fill_color=chr11,z=51
chr1 513281 516010 fill_color=chr11,z=51
chr1 65638 67982 fill_color=chr10,z=57
chr1 30409 32697 fill_color=chr9,z=58
chr1 219975 222017 fill_color=chr8,z=63
chr1 544411 548157 fill_color=chr16,z=32
chr1 614699 616685 fill_color=chr8,z=64
chr1 331562 333422 fill_color=chr8,z=66
chr1 425371 426593 fill_color=chr5,z=78
chr1 569471 570616 fill_color=chr4,z=79
chr1 621993 623234 fill_color=chr5,z=77
