chr1 380983 386043 fill_color=chr21,z=9
chr1 505441 506582 fill_color=chr4,z=79
chr1 9138 11831 fill_color=chr11,z=51
chr1 665126 667959 fill_color=chr12,z=49
chr1 33640 35580 fill_color=chr8,z=65
chr1 451933 454744 fill_color=chr12,z=49
chr1 225328 226170 fill_color=chr3,z=84
chr1 121525 125450 fill_color=chr16,z=29
chr1 359471 359593 fill_color=chr0,z=97
chr1 98723 100991 fill_color=chr9,z=59
chr1 285201 285349 fill_color=chr0,z=97
chr1 847388 847685 fill_color=chr1,z=94
chr1 549011 549738 fill_color=chr3,z=86
chr1 644974 646032 fill_color=chr4,z=80
chr1 650557 655015 fill_color=chr19,z=20
chr1 145603 147077 fill_color=chr6,z=73
chr1 773887 776941 fill_color=chr13,z=45
chr1 961227 961471 fill_color=chr1,z=95
chr1 97374 97414 fill_color=chr0,z=99
chr1 983464 984021 fill_color=chr2,z=89
chr1 202821 203134 fill_color=chr1,z=94
chr1 880762 883912 fill_color=chr13,z=43
chr1 8625 11453 fill_color=chr12,z=49
chr1 446142 448436 fill_color=chr9,z=58
chr1 592380 593513 fill_color=chr4,z=79
chr1 44041 45063 fill_color=chr4,z=81
chr1 108136 111250 fill_color=chr13,z=44
chr1 239832 241635 fill_color=chr7,z=67
chr1 481394 481826 fill_color=chr1,z=92
chr1 948223 951802 fill_color=chr15,z=35
chr1 965243 967394 fill_color=chr9,z=61
chr1 316165 320257 fill_color=chr17,z=26
chr1 250731 251704 fill_color=chr4,z=82
chr1 536618 538620 fill_color=chr8,z=64
chr1 131871 134138 fill_color=chr9,z=59
chr1 525111 527487 fill_color=chr10,z=57
chr1 850090 850354 fill_color=chr1,z=95
chr1 551926 553700 fill_color=chr7,z=68
chr1 865994 866897 fill_color=chr3,z=83
chr1 337594 338572 fill_color=chr4,z=82
chr1 902938 902956 fill_color=chr0,z=99
chr1 4415 5271 fill_color=chr3,z=84
chr1 60700 62178 fill_color=chr6,z=73
chr1 995225 997845 fill_color=chr11,z=52
chr1 12594 14457 fill_color=chr8,z=66
chr1 769737 770469 fill_color=chr3,z=86
chr1 202362 203412 fill_color=chr4,z=81
chr1 717376 718964 fill_color=chr6,z=71
chr1 317949 318560 fill_color=chr2,z=89
chr1 344240 347484 fill_color=chr13,z=41
chr1 93400 95686 fill_color=chr9,z=58
chr1 740265 742136 fill_color=chr8,z=66
chr1 925658 927024 fill_color=chr5,z=75
chr1 727610 728596 fill_color=chr4,z=82
chr1 317086 317524 fill_color=chr1,z=92
chr1 284438 284495 fill_color=chr0,z=98
chr1 594162 595955 fill_color=chr7,z=67
chr1 868129 869056 fill_color=chr3,z=83
chr1 318846 320183 fill_color=chr5,z=75
chr1 992435 996097 fill_color=chr15,z=34
chr1 609216 609785 fill_color=chr2,z=89
chr1 955155 957714 fill_color=chr11,z=54
chr1 808961 809139 fill_color=chr0,z=96
chr1 784233 786628 fill_color=chr10,z=57
chr1 894241 896496 fill_color=chr9,z=59
chr1 452535 454272 fill_color=chr7,z=68
chr1 436839 437738 fill_color=chr3,z=83
chr1 421998 425025 fill_color=chr13,z=45
chr1 93595 95440 fill_color=chr7,z=66
chr1 277263 278895 fill_color=chr7,z=70
chr1 281772 282426 fill_color=chr2,z=88
chr1 725785 729176 fill_color=chr14,z=39
chr1 282674 284225 fill_color=chr6,z=72
chr1 96880 98173 fill_color=chr5,z=76
chr1 286891 289471 fill_color=chr11,z=53
chr1 346947 348114 fill_color=chr5,z=79
chr1 553524 556951 fill_color=chr14,z=38
chr1 769866 770847 fill_color=chr4,z=82
chr1 922857 925322 fill_color=chr10,z=55
chr1 185557 186916 fill_color=chr5,z=75
chr1 534633 535808 fill_color=chr5,z=78
chr1 423946 425324 fill_color=chr5,z=75
chr1 899452 901362 fill_color=chr8,z=65
chr1 972145 973120 fill_color=chr4,z=82
chr1 792921 795883 fill_color=chr12,z=46
chr1 262063 263314 fill_color=chr5,z=77
chr1 893874 894866 fill_color=chr4,z=82
chr1 653141 654988 fill_color=chr7,z=66
chr1 477084 478054 fill_color=chr4,z=82
chr1 624346 627535 fill_color=chr13,z=42
chr1 984320 985856 fill_color=chr6,z=72
chr1 94986 98158 fill_color=chr13,z=43
chr1 764933 765704 fill_color=chr3,z=86
chr1 102162 104716 fill_color=chr10,z=54
chr1 669679 671374 fill_color=chr7,z=69
chr1 215664 216737 fill_color=chr4,z=80
chr1 21712 22724 fill_color=chr4,z=81
chr1 98282 101277 fill_color=chr12,z=46
chr1 127341 127481 fill_color=chr0,z=97
chr1 67149 67428 fill_color=chr1,z=94
chr1 738460 741570 fill_color=chr13,z=44
chr1 421791 422645 fill_color=chr3,z=84
chr1 270760 272364 fill_color=chr6,z=71
chr1 120995 121759 fill_color=chr3,z=86
chr1 554138 557348 fill_color=chr13,z=42
chr1 580008 582052 fill_color=chr8,z=63
chr1 479277 480842 fill_color=chr6,z=71
chr1 185818 186097 fill_color=chr1,z=94
chr1 55417 56034 fill_color=chr2,z=88
chr1 930117 932834 fill_color=chr11,z=51
chr1 800534 802754 fill_color=chr9,z=60
chr1 34226 36168 fill_color=chr8,z=65
chr1 755004 756906 fill_color=chr8,z=65
chr1 843919 846489 fill_color=chr11,z=53
chr1 389611 389620 fill_color=chr0,z=99
chr1 102782 104000 fill_color=chr5,z=78
chr1 162230 164100 fill_color=chr8,z=66
chr1 349255 351961 fill_color=chr11,z=51
chr1 820842 822405 fill_color=chr6,z=71
chr1 107570 109207 fill_color=chr7,z=70
chr1 245910 246787 fill_color=chr3,z=84
chr1 185890 186852 fill_color=chr4,z=82
chr1 263279 264294 fill_color=chr4,z=81
chr1 286112 287900 fill_color=chr7,z=67
chr1 744579 747038 fill_color=chr10,z=55
chr1 962360 962926 fill_color=chr2,z=89
chr1 877342 879731 fill_color=chr10,z=57
chr1 320758 323571 fill_color=chr12,z=49
chr1 676805 677332 fill_color=chr2,z=90
chr1 749485 753039 fill_color=chr15,z=36
chr1 899766 900665 fill_color=chr3,z=83
chr1 46639 46790 fill_color=chr0,z=97
chr1 346153 346834 fill_color=chr2,z=87
chr1 387448 389178 fill_color=chr7,z=68
chr1 921013 922499 fill_color=chr6,z=73
chr1 417135 419270 fill_color=chr9,z=61
chr1 1329 2576 fill_color=chr5,z=77
chr1 423863 426388 fill_color=chr10,z=54
chr1 711682 713028 fill_color=chr5,z=75
chr1 150291 151411 fill_color=chr4,z=79
chr1 810196 811123 fill_color=chr3,z=83
chr1 612889 614479 fill_color=chr6,z=71
chr1 462878 465225 fill_color=chr10,z=57
chr1 160116 162060 fill_color=chr8,z=65
chr1 722722 724990 fill_color=chr9,z=59
chr1 478701 479345 fill_color=chr2,z=88
chr1 513887 514408 fill_color=chr2,z=90
chr1 577312 579701 fill_color=chr10,z=57
chr1 246874 249961 fill_color=chr13,z=44
chr1 534565 537426 fill_color=chr12,z=48
chr1 46043 47189 fill_color=chr4,z=79
chr1 565293 568169 fill_color=chr12,z=48
chr1 835312 838676 fill_color=chr14,z=39
chr1 321176 324629 fill_color=chr14,z=38
chr1 24443 27063 fill_color=chr11,z=52
chr1 560763 563147 fill_color=chr10,z=57
chr1 5 2408 fill_color=chr10,z=56
chr1 720091 720373 fill_color=chr1,z=94
chr1 22540 26774 fill_color=chr18,z=24
chr1 225419 227450 fill_color=chr8,z=63
chr1 35217 38401 fill_color=chr13,z=42
chr1 761017 763062 fill_color=chr8,z=63
chr1 825095 825569 fill_color=chr2,z=91
chr1 639158 639598 fill_color=chr1,z=92
chr1 263455 264982 fill_color=chr6,z=72
chr1 892056 892826 fill_color=chr3,z=86
chr1 681980 682277 fill_color=chr1,z=94
chr1 838642 841505 fill_color=chr12,z=48
chr1 528786 531428 fill_color=chr11,z=52
chr1 951872 954529 fill_color=chr11,z=52
chr1 291686 292896 fill_color=chr5,z=78
chr1 91947 92433 fill_color=chr2,z=91
chr1 580501 583334 fill_color=chr12,z=49
chr1 670117 670915 fill_color=chr3,z=85
chr1 494878 498044 fill_color=chr13,z=43
chr1 574801 576250 fill_color=chr6,z=73
chr1 428431 430031 fill_color=chr6,z=71
chr1 740714 742340 fill_color=chr7,z=70
chr1 923864 927811 fill_color=chr16,z=29
chr1 791555 794582 fill_color=chr13,z=45
chr1 448735 450251 fill_color=chr6,z=72
chr1 440868 442343 fill_color=chr6,z=73
chr1 605566 608586 fill_color=chr13,z=45
chr1 970221 972710 fill_color=chr10,z=55
chr1 292888 293349 fill_color=chr1,z=91
chr1 501731 501844 fill_color=chr0,z=97
chr1 578624 579021 fill_color=chr1,z=92
chr1 201989 204281 fill_color=chr9,z=58
chr1 648559 649638 fill_color=chr4,z=80
chr1 834771 836667 fill_color=chr8,z=65
chr1 737920 738169 fill_color=chr1,z=95
chr1 628407 630864 fill_color=chr10,z=55
chr1 842577 845079 fill_color=chr10,z=55
chr1 657116 657642 fill_color=chr2,z=90
chr1 343681 344632 fill_color=chr4,z=82
chr1 981565 985463 fill_color=chr16,z=30
chr1 715142 716624 fill_color=chr6,z=73
chr1 181020 184915 fill_color=chr16,z=30
chr1 361729 365024 fill_color=chr14,z=40
chr1 122150 122781 fill_color=chr2,z=88
chr1 260614 262376 fill_color=chr7,z=68
chr1 994420 996302 fill_color=chr8,z=66
chr1 174357 174477 fill_color=chr0,z=97
chr1 406094 406844 fill_color=chr3,z=86
chr1 181626 183402 fill_color=chr7,z=68
chr1 484073 487172 fill_color=chr13,z=44
chr1 308320 308557 fill_color=chr1,z=95
chr1 142022 143662 fill_color=chr7,z=70
chr1 776166 778594 fill_color=chr10,z=56
chr1 578580 580943 fill_color=chr10,z=57
chr1 961617 961726 fill_color=chr0,z=98
chr1 618902 620306 fill_color=chr6,z=74
chr1 835726 838904 fill_color=chr13,z=42
chr1 919689 923613 fill_color=chr16,z=29
chr1 21148 21556 fill_color=chr1,z=92
chr1 116857 118939 fill_color=chr8,z=62
chr1 419204 422651 fill_color=chr14,z=38
chr1 526486 529077 fill_color=chr11,z=53
chr1 399086 400351 fill_color=chr5,z=77
chr1 535357 536975 fill_color=chr6,z=70
chr1 252289 254807 fill_color=chr10,z=54
chr1 583645 587666 fill_color=chr17,z=27
chr1 280363 282530 fill_color=chr9,z=61
chr1 243757 244285 fill_color=chr2,z=90
chr1 934372 936812 fill_color=chr10,z=56
chr1 162909 163866 fill_color=chr4,z=82
chr1 873312 873852 fill_color=chr2,z=90
chr1 82108 82114 fill_color=chr0,z=99
chr1 291201 291640 fill_color=chr1,z=92
chr1 242937 244012 fill_color=chr4,z=80
chr1 549953 552657 fill_color=chr11,z=51
chr1 108319 109310 fill_color=chr4,z=82
chr1 846545 848077 fill_color=chr6,z=72
chr1 108853 110500 fill_color=chr7,z=70
chr1 614259 615798 fill_color=chr6,z=72
chr1 335020 338845 fill_color=chr16,z=31
chr1 82991 85980 fill_color=chr12,z=46
chr1 137079 138715 fill_color=chr7,z=70
chr1 61860 63442 fill_color=chr6,z=71
chr1 850186 852307 fill_color=chr9,z=61
chr1 581795 582006 fill_color=chr0,z=96
chr1 666852 670004 fill_color=chr13,z=43
chr1 511922 514731 fill_color=chr12,z=49
chr1 34859 38665 fill_color=chr16,z=31
chr1 263778 266128 fill_color=chr10,z=57
chr1 456262 458905 fill_color=chr11,z=52
chr1 373569 377012 fill_color=chr14,z=38
chr1 134701 135574 fill_color=chr3,z=84
chr1 364870 370446 fill_color=chr24,z=0
chr1 462488 465330 fill_color=chr12,z=49
chr1 330200 330307 fill_color=chr0,z=98
chr1 906040 906307 fill_color=chr1,z=95
chr1 866677 866964 fill_color=chr1,z=94
chr1 983449 985306 fill_color=chr7,z=66
chr1 413953 414423 fill_color=chr2,z=91
chr1 28346 28692 fill_color=chr1,z=93
chr1 337913 340259 fill_color=chr10,z=57
chr1 677345 677949 fill_color=chr2,z=89
chr1 530557 533332 fill_color=chr11,z=50
chr1 181289 182927 fill_color=chr7,z=70
chr1 328570 330120 fill_color=chr6,z=72
chr1 529107 529417 fill_color=chr1,z=94
chr1 966751 967927 fill_color=chr5,z=78
chr1 243818 244987 fill_color=chr5,z=79
chr1 975035 975315 fill_color=chr1,z=94
chr1 365882 366908 fill_color=chr4,z=81
chr1 555739 556288 fill_color=chr2,z=90
chr1 743900 745785 fill_color=chr8,z=66
chr1 529146 530646 fill_color=chr6,z=73
chr1 210115 211568 fill_color=chr6,z=73
chr1 131881 133974 fill_color=chr9,z=62
chr1 120008 120969 fill_color=chr4,z=82
chr1 403502 404156 fill_color=chr2,z=88
chr1 287147 287967 fill_color=chr3,z=85
chr1 217734 220408 fill_color=chr11,z=52
chr1 339246 340221 fill_color=chr4,z=82
chr1 643346 645006 fill_color=chr7,z=70
chr1 328498 329053 fill_color=chr2,z=90
chr1 551829 554214 fill_color=chr10,z=57
chr1 132812 134703 fill_color=chr8,z=66
chr1 684653 685775 fill_color=chr4,z=79
chr1 402006 406303 fill_color=chr18,z=22
chr1 784372 787636 fill_color=chr14,z=41
chr1 378546 381799 fill_color=chr14,z=41
chr1 858909 861370 fill_color=chr10,z=55
chr1 590978 591406 fill_color=chr1,z=92
chr1 93719 94931 fill_color=chr5,z=78
chr1 694616 695554 fill_color=chr4,z=83
chr1 456316 460060 fill_color=chr16,z=32
chr1 687530 690220 fill_color=chr11,z=51
chr1 465387 468116 fill_color=chr11,z=51
chr1 960393 962737 fill_color=chr10,z=57
chr1 687419 689707 fill_color=chr9,z=58
chr1 676955 678997 fill_color=chr8,z=63
chr1 237200 240946 fill_color=chr16,z=32
chr1 493463 495449 fill_color=chr8,z=64
chr1 593379 595239 fill_color=chr8,z=66
chr1 202400 203622 fill_color=chr5,z=78
chr1 261499 262644 fill_color=chr4,z=79
chr1 869365 870606 fill_color=chr5,z=77
